id;x_wgs;y_wgs
5831309;25.058749268413788;60.34916238711464
5831310;25.06327657606434;60.349228391861
5831311;25.06780390495277;60.34929424259465
5831312;25.07233125502961;60.34935993931423
5831313;25.076858626245386;60.34942548201825
5831314;25.081386018550635;60.34949087070532
5831315;25.085913431895882;60.34955610537403
5831316;25.09044086623161;60.349621186022944
5831317;25.094968321508375;60.34968611265062
5831318;25.0994957976767;60.34975088525569
5831319;25.10402329468707;60.349815503836744
5831320;25.10855081249001;60.349879968392365
5831321;25.113078351036044;60.34994427892116
5831322;25.11760591027568;60.350008435421735
5831324;25.126661090637818;60.35013628633264
5833118;24.705846317146918;60.341296728169226
5833119;24.71037150583717;60.3413747341573
5833126;24.742048526326734;60.3419164674249
5833132;24.769201223717005;60.342374808588396
5833134;24.778252318932875;60.34252635780463
5833140;24.805406187309178;60.342977311754446
5833141;24.80993191650145;60.34305193206454
5833145;24.82803507278283;60.34334887415519
5833146;24.832560921484337;60.34342272488238
5833147;24.837086793939523;60.34349642168817
5833153;24.864242524732806;60.34393537008426
5833156;24.877820706803917;60.34415276621459
5833157;24.882346814079714;60.344224923718976
5833159;24.89139909821306;60.34436877690974
5833165;24.918556503709986;60.34479664182588
5833167;24.927609155257013;60.34493803187127
5833195;25.054355637842708;60.346852826213
5833196;25.05888261370252;60.346918978975765
5833198;25.067936629220405;60.34705082250796
5833199;25.072463668779548;60.34711651327453
5833200;25.076990729472872;60.34718205003948
5833201;25.08151781125093;60.347247432801396
5833202;25.08604491406421;60.347312661558874
5833203;25.090572037863296;60.3473777363105
5833204;25.095099182598684;60.34744265705486
5833205;25.099626348220944;60.34750742379052
5833206;25.10415353468054;60.34757203651609
5833207;25.10868074192805;60.347636495230184
5833208;25.113207969913976;60.34770079993135
5833209;25.117735218588837;60.34776495061826
5833210;25.122262487903182;60.34782894728947
5833211;25.12678977780752;60.34789278994362
5834992;24.65170727189816;60.33810584065842
5834993;24.656231845719702;60.33818568580446
5835005;24.710528719939823;60.33913182734879
5835009;24.72862848480809;60.33944228439148
5835010;24.733153488357225;60.33951951398191
5835026;24.805556889035437;60.34073425978124
5835027;24.810082308054245;60.34080887333171
5835028;24.81460775106826;60.34088333298274
5835039;24.864389193786078;60.341692231321375
5835042;24.877966445113096;60.341909607757266
5835046;24.89606977221569;60.342197288071254
5835050;24.914173468230015;60.342482505512116
5835051;24.918699449505592;60.3425534250368
5835052;24.923225453591147;60.34262419062414
5835054;24.93227752999463;60.34276525998079
5835081;25.054489272302767;60.34460942312889
5835082;25.059015937708686;60.344675569897674
5835083;25.063542624392372;60.34474156268309
5835084;25.068069332304407;60.344807401483685
5835085;25.072596061395313;60.34487308629806
5835086;25.077122811615627;60.344938617124754
5835087;25.081649582915936;60.34500399396235
5835088;25.086176375246776;60.345069216809435
5835089;25.090703188558667;60.34513428566459
5835090;25.095230022802173;60.34519920052641
5835091;25.09975687792779;60.345263961393464
5835092;25.10428375388612;60.34532856826435
5835094;25.11333756810295;60.345457320012045
5835095;25.11786450626253;60.345521464886076
5835097;25.126918444436694;60.34564929262747
5835098;25.131445444352345;60.345712975492084
5835099;25.135972464754406;60.34577650435077
5835100;25.140499505593404;60.34583987920215
5835101;25.145026566819862;60.345903100044865
5835102;25.149553648384334;60.34596616687756
5835103;25.154080750237316;60.34602907969886
5836872;24.629247557800376;60.33546152882434
